UNITID,CDACTUA,EFTEUG,FTEUG
208318,119887.0,2664.0,2664.0
208415,25579.0,568.0,568.0
208479,11744.0,391.0,391.0
208512,23580.0,786.0,786.0
208646,90712.0,2016.0,2016.0
208725,1537.0,57.0,57.0
208822,74273.0,2476.0,2476.0
209056,65699.0,2190.0,2139.0
209065,50864.0,1695.0,1695.0
209074,127838.0,2841.0,2841.0
209241,1537.0,57.0,57.0
209287,8850.0,295.0,295.0
209296,1537.0,57.0,57.0
209409,13556.0,452.0,452.0
209490,27525.0,612.0,612.0
209506,133966.0,2977.0,2977.0
209542,401939.0,13099.0,13082.0
209551,401939.0,13099.0,13082.0
209603,10013.0,334.0,334.0
209612,49561.0,1652.0,1652.0
209746,401939.0,13099.0,13082.0
209807,401939.0,13099.0,13082.0
209825,111780.0,3726.0,3747.0
209922,43213.0,1440.0,1528.0
209940,58257.0,1839.0,1839.0
210146,136457.0,3032.0,3032.0
210155,48550.0,1079.0,1079.0
210234,48038.0,1068.0,1068.0
210270,50646.0,1125.0,1125.0
210304,11670.0,389.0,389.0
210331,25394.0,846.0,846.0
210401,34746.0,1158.0,1158.0
210429,137490.0,3055.0,3055.0
210438,3700.0,82.0,82.0
210492,7627.0,254.0,223.0
210571,42301.0,1410.0,1410.0
210599,42000.0,1400.0,1400.0
210605,234048.0,7802.0,7802.0
210669,48784.0,1626.0,1494.0
210739,72285.0,2410.0,2410.0
210775,59097.0,1970.0,1970.0
211024,10417.0,347.0,347.0
211079,32500.0,1083.0,1083.0
211088,56404.0,1880.0,1880.0
211273,44914.0,1497.0,1497.0
211291,115757.0,3859.0,3859.0
211307,127441.0,4248.0,4248.0
211343,47804.0,1593.0,1593.0
211352,41823.0,1394.0,1394.0
211431,32875.0,1096.0,1022.0
211440,210654.0,7022.0,6837.0
211468,29618.0,987.0,987.0
211477,26922.0,598.0,598.0
211556,39246.0,1308.0,1308.0
211583,28074.0,936.0,1044.0
211608,18371.0,612.0,612.0
211635,3300.0,110.0,110.0
211802,3234.0,147.0,147.0
211893,3924.0,131.0,131.0
211927,156013.0,5200.0,5200.0
211981,50252.0,1675.0,1675.0
212009,68312.0,2277.0,2277.0
212045,10574.0,352.0,352.0
212054,401939.0,13099.0,13082.0
212106,161840.0,5395.0,5395.0
212115,121871.0,4062.0,4062.0
