UNITID,EFCSTATE,LINE,EFRES01,EFRES02 
110714,48,48,1,1.0
110714,51,51,2,2.0
110714,58,999,258,255.0
110714,99,99,258,255.0
110714,5,5,1,1.0
110714,47,47,1,1.0
110714,58,999,2,2.0
110714,90,90,1,0.0
110714,99,99,3,2.0
110714,5,5,128,74.0
110714,5,5,1,0.0
110714,5,5,1,1.0
110714,12,12,1,0.0
110714,47,47,2,1.0
110714,58,999,133,76.0
110714,99,99,137,76.0
110714,5,5,467,0.0
110714,58,999,467,0.0
110714,99,99,467,0.0
110714,5,5,576,415.0
110714,6,6,1,0.0
110714,12,12,15,10.0
110714,13,13,424,395.0
110714,17,17,3,2.0
110714,18,18,1,1.0
110714,21,21,2,2.0
110714,22,22,2,2.0
110714,24,24,1,1.0
